,college,program_name,course_title,program_category,course_description,city,state,zip_code,country,residential,application,transcript,letter_of_recommendation,counselor_report,test_scores,toefl_or_english_exam,app_fee,app_date,enrollment_fee,credit_offerred,tuition,start_date,end_date,eligibility_requirements,grades,link
10,Northwestern University,Center for Talent Development,AP® Economics: Microeconomics,Arts & Humanities,"This is a 1 credit equivalent, flexibly paced, asynchronous Advanced Placement course within the Online Advanced Placement (AP®) Program. Students can expect 6-8 hours of coursework per week and have 14-18 weeks to complete the course depending on start date.This course prepares students for the AP® Economics: Microeconomics exam. This course addresses the central topics of AP® Microeconomics including supply and demand, the theory of the firm, perfect and imperfect competition, and the role of the factors of production in free and mixed economies. Topics covered in this one credit course include basic economic concepts and the theory of the firm and various forms of imperfect competition. This class investigates the nature of the factor market and the role of government in the American economy.",Online,Online,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$795,"January 11, 2024","September 6, 2023 ","
95th percentile or above on a nationally normed, standardized grade-level achievement test, or
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or 
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).  
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1102"
11,Northwestern University,Center for Talent Development,AP® English Language & Composition,English & Language Arts,"This is a 2 credit equivalent, flexibly paced, asynchronous Advanced Placement course within the Online Advanced Placement (AP®) Program. Students can expect 6-8 hours of coursework per week and have 30-34 weeks to complete the course depending on start date.This course prepares students to take the AP® English Language & Composition exam by focusing on the skills that are necessary to understand, evaluate, and critique analytical arguments. Students will read a wide array of fiction and non-fiction to strengthen critical literacy skills and higher-order thinking. Expository, analytical, and argumentative writing skills that form the basis of effective communication are emphasized.",Online,Online,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$1300,"May 6, 2024","September 6, 2023 ","
95th percentile or above on a nationally normed, standardized grade-level achievement test, or
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or 
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).  
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1109"
12,Northwestern University,Center for Talent Development,AP® European History,Arts & Humanities,"This is a 2 credit equivalent, flexibly paced, asynchronous Advanced Placement course within the Online Advanced Placement (AP®) Program. Students can expect 6-8 hours of coursework per week and have 30-34 weeks to complete the course depending on start date.Students will use primary sources and works of art and literature to develop and sharpen the skills necessary for effectively analyzing, interpreting, and evaluating historical materials from the western hemisphere. This course examines the origins and evolution of the values that shape the present world politically, socially, intellectually, and culturally from 1450 to the present day. Topics covered include the foundations of European institutions, the Renaissance and Reformation, and the Conflicts and Transformation of the Cold War. This course will prepare students to take the AP® European History exam.",Online,Online,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$1300,"May 6, 2024","September 6, 2023 ","
95th percentile or above on a nationally normed, standardized grade-level achievement test, or
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or 
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).  
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1115"
13,Northwestern University,Center for Talent Development,AP® Government & Politics: Comparative,Arts & Humanities,"This is a 1 credit equivalent, flexibly paced, asynchronous Advanced Placement course within the Online Advanced Placement (AP®) Program. Students can expect 6-8 hours of coursework per week and have 14-18 weeks to complete the course depending on start date.This course prepares students for the AP® Government: Comparative exam. Students will explore comparative politics by studying patterns of behavior and consequences in the political frameworks of other nations. This course aims to illustrate the rich diversity of political life, show available institutional alternatives, explain differences in processes and policy outcomes, and communicate the importance of global political and economic changes. Countries included in our analysis are China, Great Britain, Mexico, Nigeria, Russia, and Iran. ",Online,Online,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$795,"January 11, 2024","September 6, 2023 ","
95th percentile or above on a nationally normed, standardized grade-level achievement test, or
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or 
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).  
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1101"
14,Northwestern University,Center for Talent Development,AP® Human Geography,Arts & Humanities,"This is a 2 credit equivalent, flexibly paced, asynchronous Advanced Placement course within the Online Advanced Placement (AP®) Program. Students can expect 6-8 hours of coursework per week and have 30-34 weeks to complete the course depending on start date.Geography generally focuses on the question of “Where?” Human geography tries to answer the question, “Why there?”",Online,Online,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$1300,"May 6, 2024","September 6, 2023 ","
95th percentile or above on a nationally normed, standardized grade-level achievement test, or
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or 
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).  
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1114"
15,Northwestern University,Center for Talent Development,AP® Physics C: Mechanics,Science,"This is an online, 1 credit equivalent, flexibly paced Advanced Placement course. Students can expect 5-8 hours of independent coursework per week.This course prepares students for the AP® Physics C: Mechanics exam. This one credit course provides a detailed study of classical mechanics including Newton’s Laws of motion, energy, linear and angular momentum, motion, and rotation, solving a variety of challenging problems, and is designed for students with prior Physics experience and an interest in majoring in a technical science in college.",Online,Online,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$795,"January 11, 2024","September 6, 2023 ","
95th percentile or above on a nationally normed, standardized grade-level achievement test, or
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or 
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).  
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1140"
16,Northwestern University,Center for Talent Development,AP® Physics I: Algebra Based,Science,"This is a 2 credit equivalent, flexibly paced, asynchronous Advanced Placement course within the Online Advanced Placement (AP®) Program. Students can expect 6-8 hours of coursework per week and have 30-34 weeks to complete the course depending on start date.This college-level algebra-based physics course explores topics in dynamics, motion, and simple circuits through complex problem-solving, lab investigations and learning projects and using the visualization of physical principles and practical applications. This course prepares students to take the AP® Physics I: Algebra-Based exam and is best-suited for students interested in advanced Physics courses without experience with Calculus.",Online,Online,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$1300,"May 6, 2024","September 6, 2023 ","
95th percentile or above on a nationally normed, standardized grade-level achievement test, or
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or 
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).  
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1112"
17,Northwestern University,Center for Talent Development,AP® Statistics ,Mathematics,"This is a three-week, 2-credit course within the CTD Academic Summer Camp for Grades 9-12, meeting in-person Monday-Friday from 9am – 3 pm CDT. Collecting, analyzing, and drawing conclusions from data are skills required in virtually every discipline. Explore theories of probability, descriptions of statistical measurements, probability distributions, and experimental and statistical inference. Develop research proposals, collect and analyze data, and complete a comprehensive statistical project. AP® Statistics is a full-year course taught in an accelerated format designed to prepare students for the AP® Statistics exam. It lays the foundation for advanced studies in data analytics, engineering, and the actuarial sciences.  
OFFERED: July 16 – August 4, 2023  ",Evanston,IL,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$2660,"August 4, 2023","July 16, 2023 ","
Requisite scores on above-grade-level test through CTD Assessment (formerly NUMATS) or similar program:

	
PSAT 8/9®, SCAT, or I-Excel test taken in grade 5 or 6 (if applying as a 7th or 8th grade student)
ACT® or SAT® test taken in grade 6, 7, 8 or 9, or


Requisite scores on ACT®, SAT®, PreACT®, or PSAT/NMSQT® test taken in grade 10 or 11, or
Successful completion, within the past two years, of a previous CTD Indigo Tier course with the same qualifying subject area criteria, or
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1088"
18,Northwestern University,Center for Talent Development,AP® U.S. History,Arts & Humanities,"This is a 2 credit equivalent, flexibly paced, asynchronous Advanced Placement course within the Online Advanced Placement (AP®) Program. Students can expect 6-8 hours of coursework per week and have 30-34 weeks to complete the course depending on start date.This is a college-level introductory course that examines the nation’s political, diplomatic, intellectual, cultural, social, and economic history from 1491 to the present. Emphasis is on interpreting documents, mastering a significant body of historical data, developing historical thinking skills, and writing critical essays. A variety of instructional approaches are employed, and a college-level textbook is supplemented by primary and secondary sources.  Key themes covered in this course include American and National Identity, Politics and Power, Work, Exchange, and Technology, Culture and Society, Migration and Settlement, Geography and the Environment, and America in the World. This course will prepare students to take the AP® US History exam.",Online,Online,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$1300,"May 6, 2024","September 6, 2023 ","
95th percentile or above on a nationally normed, standardized grade-level achievement test, or
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or 
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).  
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1110"
19,Northwestern University,Center for Talent Development,"Architecture: Proportion, Physics and Problem-Solving (Gr. 4-5)",Technology & Engineering,"This course runs Monday through Friday, July 17 – July 21. While the façade and structure of buildings change, some parts of architecture and design remain timeless. Explore the architectural design process using math, physics and visual-spatial reasoning skills. Through hands-on building projects, blueprint sketching and analysis of historic architects and their designs, students investigate the depth and breadth of the field of architecture. Evaluate the value of the Golden Ratio and apply problem-solving skills to build original designs and models.",Chicago,IL,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$700,"July 21, 2023","July 17, 2023 ","
90th percentile or above on a nationally normed, standardized grade-level achievement test, or 
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available). Please note: Admission portfolio option is not available for all age levels in all programs.
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1051"
20,Northwestern University,Center for Talent Development,"Architecture: Proportion, Physics and Problem-Solving (Gr. 4-5)",Technology & Engineering,"This course runs Monday through Friday, July 10 – July 14. While the façade and structure of buildings change, some parts of architecture and design remain timeless. Explore the architectural design process using math, physics and visual-spatial reasoning skills. Through hands-on building projects, blueprint sketching and analysis of historic architects and their designs, students investigate the depth and breadth of the field of architecture. Evaluate the value of the Golden Ratio and apply problem-solving skills to build original designs and models.",Evanston,IL,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$700,"July 14, 2023","July 10, 2023 ","
90th percentile or above on a nationally normed, standardized grade-level achievement test, or 
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available). Please note: Admission portfolio option is not available for all age levels in all programs.
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1050"
21,Northwestern University,Center for Talent Development,Are You My Perfect Pet:  Mathematical Decision Making (Gr. 1-2),Mathematics,"This course runs Monday through Friday, July 17 – July 21. Zeus the Great Dane is a dog who stands over seven feet tall, weighs about 200 pounds and holds the title of world’s tallest dog according to Guinness World Records. His owner must love him very much. How much? We may not be able to find the answer to that question, but we can find out a lot about our pets and other animals by asking, ""How much?"" Students calculate and compare, building computation and data skills as they find the solutions to the mathematical problems of pet ownership.",Evanston,IL,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$700,"July 21, 2023","July 17, 2023 ",,9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1028"
22,Northwestern University,Center for Talent Development,Biology Honors,Science,"This is a 2 credit equivalent, flexibly paced, asynchronous Honors course within the Online Honors Program. Students can expect 6-8 hours of coursework per week and have 30-34 weeks to complete the course depending on start date.Biology Honors is an introductory course covering topics equivalent to a full year of high school Biology at the Honors level. This class introduces students to the fundamental concepts upon which modern biology is built. Student biologists learn about the nature of scientific inquiry, the limitations of science and the scientific method, the diversity and interrelations among organisms and environmental issues while exploring energy, matter, cells, and heredity.  Readings, problems and laboratory exercises facilitate this challenging course.  Among other things, students learn to identify major structures of plants and animals and how they work together to maintain life. ",Online,Online,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$1285,"May 6, 2024","September 6, 2023 ","
95th percentile or above on a nationally normed, standardized grade-level achievement test, or
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or 
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).  
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1123"
23,Northwestern University,Center for Talent Development,Biology Honors,Science,"This is a three-week, 2-credit course within the CTD Academic Summer Camp for Grades 9-12, meeting in-person Monday-Friday from 9am – 3 pm CDT. Biology comes alive in this fast-paced high school honors course, emphasizing the principles that apply to plants and animals through class discussion, text readings, demonstrations, and applying methods of scientific investigation in the lab. Biology Honors is a full-year course in an accelerated format designed for students who intend to accelerate in science and prepares students for AP® Biology.  ",Evanston,IL,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$2660,"August 4, 2023","July 16, 2023 ","
Requisite scores on above-grade-level test through CTD Assessment (formerly NUMATS) or similar program:

	
PSAT 8/9®, SCAT, or I-Excel test taken in grade 5 or 6 (if applying as a 7th or 8th grade student)
ACT® or SAT® test taken in grade 6, 7, 8 or 9, or


Requisite scores on ACT®, SAT®, PreACT®, or PSAT/NMSQT® test taken in grade 10 or 11, or
Successful completion, within the past two years, of a previous CTD Indigo Tier course with the same qualifying subject area criteria, or
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available).
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1076"
24,Northwestern University,Center for Talent Development,Brain Science (Gr. 5-6),Science,"This course runs Monday through Friday, July 24 – Aug 4. Discover the secrets of “the most complex thing in the universe"" - your own brain! The brain is a three-pound mass of miles of nerve fibers that controls everything you do and how you react to the world. Through research and hands-on activities, investigate how the brain impacts your decisions, controls your memory, influences your mood and more!",Evanston,IL,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$1500,"August 4, 2023","July 24, 2023 ","
90th percentile or above on a nationally normed, standardized grade-level achievement test, or 
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available). Please note: Admission portfolio option is not available for all age levels in all programs.
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1059"
25,Northwestern University,Center for Talent Development,Brain Science (Gr. 5-6),Science,"This course runs Monday through Friday, July 10 – July 21.Discover the secrets of “the most complex thing in the universe"" - your own brain! The brain is a three-pound mass of miles of nerve fibers that controls everything you do and how you react to the world. Through research and hands-on activities, investigate how the brain impacts your decisions, controls your memory, influences your mood and more!",Chicago,IL,000,United States,No,Yes,Yes,Yes,No,No,Yes,0,0,0,Yes,$1500,"July 21, 2023","July 10, 2023 ","
90th percentile or above on a nationally normed, standardized grade-level achievement test, or 
Participation in above-grade-level testing through CTD Assessment (formerly NUMATS) or similar program, or
Successful completion, within the past two years, of a previous CTD course at the same or higher admission tier and in the qualifying subject area, or
Admission portfolio (report card or transcript, teacher recommendation, and test scores, if available). Please note: Admission portfolio option is not available for all age levels in all programs.
",9-12,"https://www.ctd.northwestern.edu/courses?grade_level=471,472,473,474&sort=alpha#1058"
